passenger_id,Age,Gender,Name,Phone Number,paasenger_trip_id,trip_id,start_bus_stop,end_bus_stop,bus_line_id
1,69,Female,Tina Garcia,(705)298-9015x277,1,0,100000059,100000048,15000000
1,69,Female,Tina Garcia,(705)298-9015x277,101,100,000000058,100000120,11100844
1,69,Female,Tina Garcia,(705)298-9015x277,211,210,000000635,000000028,11100844
2,29,Male,Keith Chen,333.911.7942x481,2,1,100000063,100000073,15000001
2,29,Male,Keith Chen,333.911.7942x481,102,101,000000089,000000859,11100845
2,29,Male,Keith Chen,333.911.7942x481,212,211,000000023,100000118,11100845
3,24,Female,Joshua Martinez,(590)718-1443x71254,3,2,100000081,100000052,15000002
3,24,Female,Joshua Martinez,(590)718-1443x71254,103,102,000000662,100000233,11100846
3,24,Female,Joshua Martinez,(590)718-1443x71254,213,212,000000023,000000387,11100846
4,60,Male,Thomas Norton,997.219.8773,4,3,100000091,100000082,15000003
4,60,Male,Thomas Norton,997.219.8773,104,103,000000037,000001297,11100848
4,60,Male,Thomas Norton,997.219.8773,214,213,100000126,000000387,11100848
5,77,Male,Lindsay Harris,751.316.8548x465,5,4,000000020,000000004,11100801
5,77,Male,Lindsay Harris,751.316.8548x465,105,104,000000464,000001332,11100849
6,61,Female,Jonathan Rodriguez,896.641.2213x117,6,5,000000615,000001254,11100802
6,61,Female,Jonathan Rodriguez,896.641.2213x117,106,105,000000470,000001131,11100850
7,71,Male,Lisa Burton,8746105037,7,6,000000807,000000521,11100806
7,71,Male,Lisa Burton,8746105037,107,106,000000398,000000674,11100851
8,36,Male,Erika Perry,001-464-418-5931x99024,8,7,000000437,000000425,11100803
8,36,Male,Erika Perry,001-464-418-5931x99024,108,107,000000459,000000570,11100853
9,59,Female,Leslie Caldwell,317.940.5990x04689,9,8,000000579,000000412,11100804
9,59,Female,Leslie Caldwell,317.940.5990x04689,109,108,000000683,000000500,11100856
10,42,Female,Micheal Walton,(868)909-2086,10,9,000000636,000000545,11100805
10,42,Female,Micheal Walton,(868)909-2086,110,109,000001426,000000035,11100857
11,55,Female,Gabriel Pace,001-224-461-1610x35538,11,10,000000620,000001356,11100815
11,55,Female,Gabriel Pace,001-224-461-1610x35538,111,110,100000050,000000500,15000000
12,64,Male,Jason Terry,661.215.7484x26074,12,11,000001217,100000227,11100829
12,64,Male,Jason Terry,661.215.7484x26074,112,111,100000050,000000405,15000001
13,27,Female,Lisa Jones,+1-623-718-3390,13,12,000001329,000001217,11100820
13,27,Female,Lisa Jones,+1-623-718-3390,113,112,100000050,000000028,15000002
14,57,Male,Jonathan Gonzalez,634-648-9657x6238,14,13,000001214,000001428,11100821
14,57,Male,Jonathan Gonzalez,634-648-9657x6238,114,113,100000050,000000515,15000003
15,31,Male,Anthony Lane,435-996-0882x9875,15,14,000001220,100000124,11100822
15,31,Male,Anthony Lane,435-996-0882x9875,115,114,000000378,000000055,11100801
16,59,Female,Michael Bishop,001-229-802-4101x5658,16,15,000000919,100000217,11100823
16,59,Female,Michael Bishop,001-229-802-4101x5658,116,115,100000131,000000967,11100802
17,30,Female,Robert Noble,001-682-475-9035x87312,17,16,000001586,000001596,11100824
17,30,Female,Robert Noble,001-682-475-9035x87312,117,116,000000283,000000535,11100806
18,87,Female,Jill Cordova,+1-656-826-3520x7305,18,17,100000215,000001571,11100876
18,87,Female,Jill Cordova,+1-656-826-3520x7305,118,117,000000145,000001550,11100803
19,47,Male,Jennifer Moore,001-471-994-6671x2298,19,18,000000350,000000349,11100816
19,47,Male,Jennifer Moore,001-471-994-6671x2298,119,118,000001405,000000763,11100804
20,42,Female,David Spencer,385.967.9679x0654,20,19,000000881,000000920,11100827
20,42,Female,David Spencer,385.967.9679x0654,120,119,100000027,000000369,11100805
21,80,Female,James Collier,+1-472-464-5351x42002,21,20,000000379,000000387,11100825
21,80,Female,James Collier,+1-472-464-5351x42002,121,120,000000243,000000102,11100815
22,89,Male,Kristen Meza,3936472516,22,21,000000477,000001131,11100826
22,89,Male,Kristen Meza,3936472516,122,121,000000037,000000194,11100829
23,28,Female,Alan Waters,3592196006,23,22,000000574,000001196,11100817
23,28,Female,Alan Waters,3592196006,123,122,000000037,000000251,11100820
24,44,Male,Rebecca Savage,+1-581-349-9363,24,23,000001345,000000491,11100818
24,44,Male,Rebecca Savage,+1-581-349-9363,124,123,000001401,000000165,11100821
25,20,Female,James Stein,9032226852,25,24,100000022,000000894,11100828
25,20,Female,James Stein,9032226852,125,124,000000037,000000018,11100822
26,53,Female,Daniel Gill,001-958-320-7464x0283,26,25,000001389,000000499,11100819
26,53,Female,Daniel Gill,001-958-320-7464x0283,126,125,000000037,000000268,11100823
27,77,Male,Tricia Clarke,819-990-2675x600,27,26,000001560,000001431,11100100
27,77,Male,Tricia Clarke,819-990-2675x600,127,126,000000037,000001444,11100824
28,25,Male,Stephanie Jones,001-944-648-5909x0953,28,27,000000820,000000828,11100130
28,25,Male,Stephanie Jones,001-944-648-5909x0953,128,127,000000867,000001192,11100876
29,84,Female,Taylor Wilson,706-511-5518x6155,29,28,000000507,000000510,11100150
29,84,Female,Taylor Wilson,706-511-5518x6155,129,128,000000243,000000484,11100816
30,33,Female,Mark Garcia,(307)471-1999,30,29,100000111,100000104,11100160
30,33,Female,Mark Garcia,(307)471-1999,130,129,000000872,000000374,11100827
31,29,Female,Monique Gomez,001-655-570-6897,31,30,000001280,000001278,11100163
31,29,Female,Monique Gomez,001-655-570-6897,131,130,000001138,000000268,11100825
32,88,Male,Heather Williamson,+1-643-796-6998x16228,32,31,000000413,000000311,11100171
32,88,Male,Heather Williamson,+1-643-796-6998x16228,132,131,000001401,000000242,11100826
33,31,Female,Christina Mcconnell,374.728.5557,33,32,000000306,000000253,11100172
33,31,Female,Christina Mcconnell,374.728.5557,133,132,000000522,000001163,11100817
34,50,Male,Michael Boyle,7064286970,34,33,000000724,000000161,11100181
34,50,Male,Michael Boyle,7064286970,134,133,000000522,000000373,11100818
35,41,Male,Amy Hayes,648.913.1422x26549,35,34,000000169,000000162,11100182
35,41,Male,Amy Hayes,648.913.1422x26549,135,134,000000023,000000405,11100828
36,44,Male,Matthew Lewis,836-782-3292,36,35,000001544,000000766,11100191
36,44,Male,Matthew Lewis,836-782-3292,136,135,000000522,000000313,11100819
37,58,Female,Shelby Dunn,+1-670-860-1406x258,37,36,000001544,000001560,11100192
37,58,Female,Shelby Dunn,+1-670-860-1406x258,137,136,000000531,000000363,11100100
38,30,Male,Stephen Adams,551-363-3600x751,38,37,000000436,000000427,11100020
38,30,Male,Stephen Adams,551-363-3600x751,138,137,000000005,000000769,11100130
39,44,Male,Michael Huerta,+1-550-647-3043x15577,39,38,000000114,000000140,11100201
39,44,Male,Michael Huerta,+1-550-647-3043x15577,139,138,000000021,000000377,11100150
40,23,Female,Charlotte Hardy,001-701-609-2624x44692,40,39,000000116,000000103,11100202
40,23,Female,Charlotte Hardy,001-701-609-2624x44692,140,139,000000148,000000261,11100160
41,28,Female,Alexander Franco,754-219-7597x123,41,40,000001404,000000161,11100211
41,28,Female,Alexander Franco,754-219-7597x123,141,140,000000020,000000417,11100163
42,90,Male,Erica Nelson MD,(379)984-5551,42,41,000000180,000000252,11100212
42,90,Male,Erica Nelson MD,(379)984-5551,142,141,000001404,000000007,11100171
43,36,Female,David Watson,(335)759-1111,43,42,000001296,000001256,11100223
43,36,Female,David Watson,(335)759-1111,143,142,000000180,000000251,11100172
44,64,Male,Kelly Garcia,+1-601-886-2590x5644,44,43,000000229,000000235,11100230
44,64,Male,Kelly Garcia,+1-601-886-2590x5644,144,143,000000187,000000139,11100181
45,81,Male,Adam Cameron,(926)465-0676x638,45,44,000000166,000000260,11100241
45,81,Male,Adam Cameron,(926)465-0676x638,145,144,000000531,000000628,11100182
46,29,Female,Alicia Phelps,001-376-443-1529x02163,46,45,000000507,000000510,11100240
46,29,Female,Alicia Phelps,001-376-443-1529x02163,146,145,000000416,000000642,11100191
47,82,Female,Veronica Wilson,001-927-859-2104x23619,47,46,000000704,000001162,11100250
47,82,Female,Veronica Wilson,001-927-859-2104x23619,147,146,000000373,000000724,11100192
48,51,Male,Kathryn Merritt,6625110891,48,47,000000704,000001162,11100260
48,51,Male,Kathryn Merritt,6625110891,148,147,000000163,000000051,11100020
49,28,Female,Debra Lee,309.883.6890x98741,49,48,000000644,000000680,11100270
49,28,Female,Debra Lee,309.883.6890x98741,149,148,000000019,000000640,11100201
50,61,Male,Alexis Wells,(308)527-9407,50,49,000001177,000001169,11100280
50,61,Male,Alexis Wells,(308)527-9407,150,149,000000006,000000640,11100202
51,58,Female,Christopher Brown,321.559.4936x39001,51,50,000000726,000000734,14100118
51,58,Female,Christopher Brown,321.559.4936x39001,151,150,000001438,000001184,11100211
52,48,Female,Amanda Mcfarland,(845)209-5806x7801,52,51,000000937,000000277,14100135
52,48,Female,Amanda Mcfarland,(845)209-5806x7801,152,151,000001438,000000373,11100212
53,26,Male,Amy Flores,548-358-3327x733,53,52,000000398,000000392,11100310
53,26,Male,Amy Flores,548-358-3327x733,153,152,000000754,000000170,11100223
54,69,Female,Lauren Brown,(527)571-7086x52895,54,53,000000378,000000406,14100121
54,69,Female,Lauren Brown,(527)571-7086x52895,154,153,000000193,000000169,11100230
55,42,Male,Stephanie Byrd,+1-891-635-2617,55,54,000001296,000001256,11100330
55,42,Male,Stephanie Byrd,+1-891-635-2617,155,154,000000229,000001312,11100241
56,28,Female,Robin Owens,(398)444-8125,56,55,000000436,000000425,11100340
56,28,Female,Robin Owens,(398)444-8125,156,155,000000182,000000177,11100240
57,79,Female,Robert Stewart,592.444.0837x27515,57,56,000001362,000000766,11100350
57,79,Female,Robert Stewart,592.444.0837x27515,157,156,000000166,000000304,11100250
58,56,Male,Nicole Wolfe,001-336-510-5556x5563,58,57,000001399,000000380,11100370
58,56,Male,Nicole Wolfe,001-336-510-5556x5563,158,157,000000683,000000007,11100260
59,89,Female,Kayla Smith,418-506-2715,59,58,000000056,000000048,11100380
59,89,Female,Kayla Smith,418-506-2715,159,158,000001404,000000007,11100270
60,20,Female,Chase Silva,+1-554-379-0588x77426,60,59,000000289,000000182,11100390
60,20,Female,Chase Silva,+1-554-379-0588x77426,160,159,000000279,000000541,11100280
61,53,Male,Allison Sherman,482-648-5886x8213,61,60,000000018,000000145,11100040
61,53,Male,Allison Sherman,482-648-5886x8213,161,160,000000369,000001410,14100118
62,21,Male,Jimmy Santos,+1-263-322-6341x2898,62,61,000000020,000000006,11100400
62,21,Male,Jimmy Santos,+1-263-322-6341x2898,162,161,000001404,000000557,14100135
63,19,Female,David Meyer,+1-913-975-1210,63,62,000001280,000001278,11100410
63,19,Female,David Meyer,+1-913-975-1210,163,162,000000211,000001410,11100310
64,33,Male,Michael Thompson,8484720367,64,63,000001426,000000549,11100420
64,33,Male,Michael Thompson,8484720367,164,163,000000531,000001211,14100121
65,90,Female,Heather Williams,+1-361-496-5428,65,64,000000114,000000140,11100430
65,90,Female,Heather Williams,+1-361-496-5428,165,164,000000306,000000551,11100330
66,80,Male,Rachel Richardson,242-246-5729x180,66,65,000000089,000000081,11100440
66,80,Male,Rachel Richardson,242-246-5729x180,166,165,000000531,000000638,11100340
67,39,Female,Mark Goodwin,+1-535-566-0823,67,66,000000136,000000962,11100460
67,39,Female,Mark Goodwin,+1-535-566-0823,167,166,000000201,000000248,11100350
68,63,Male,Sarah Valentine,856-777-0331,68,67,000000124,000000111,11100480
68,63,Male,Sarah Valentine,856-777-0331,168,167,000000639,000000526,11100370
69,20,Female,Abigail Guzman,+1-395-230-5509x895,69,68,000000124,000000111,11100482
69,20,Female,Abigail Guzman,+1-395-230-5509x895,169,168,000000191,000001543,11100380
70,84,Female,Joshua Singleton PhD,001-447-318-9797,70,69,000000016,000000185,11100490
70,84,Female,Joshua Singleton PhD,001-447-318-9797,170,169,000000163,000000247,11100390
71,42,Female,Timothy Nguyen,624.361.1927x722,71,70,000001399,000000380,11100500
71,42,Female,Timothy Nguyen,624.361.1927x722,171,170,000000306,000000421,11100040
72,63,Female,Stephanie Taylor,(454)923-0001x133,72,71,000000166,000000259,11100510
72,63,Female,Stephanie Taylor,(454)923-0001x133,172,171,000001341,000001284,11100400
73,64,Male,Diane Rodriguez,289.501.1168x74065,73,72,000000166,000000259,11100520
73,64,Male,Diane Rodriguez,289.501.1168x74065,173,172,000000400,000000522,11100410
74,64,Female,Bryce Acosta,379-236-1226x894,74,73,000000518,000000529,11100530
74,64,Female,Bryce Acosta,379-236-1226x894,174,173,000000011,000000658,11100420
75,71,Male,John Delacruz,277-479-4447x2373,75,74,000000518,000000529,11100540
75,71,Male,John Delacruz,277-479-4447x2373,175,174,000000193,000000717,11100430
76,78,Female,Aaron Austin,440-246-4548,76,75,000001438,000000213,11100550
76,78,Female,Aaron Austin,440-246-4548,176,175,000000773,000000102,11100440
77,38,Male,Christine Brown,219.944.2206x324,77,76,000000136,000000962,11100570
77,38,Male,Christine Brown,219.944.2206x324,177,176,000001406,000000055,11100460
78,44,Female,Gary Stout,(445)635-0436x69196,78,77,000000943,000000136,11100573
78,44,Female,Gary Stout,(445)635-0436x69196,178,177,100000131,000000088,11100480
79,80,Male,Sandra Jones,+1-755-457-0092x49775,79,78,000000531,000000542,11100580
79,80,Male,Sandra Jones,+1-755-457-0092x49775,179,178,100000131,000000661,11100482
80,32,Female,Kelsey Thornton,(771)622-7397,80,79,000000069,000000022,11100060
80,32,Female,Kelsey Thornton,(771)622-7397,180,179,000001446,000000446,11100490
81,30,Female,Justin Davis,+1-923-494-8858x275,81,80,000000558,000000282,11100612
81,30,Female,Justin Davis,+1-923-494-8858x275,181,180,000000531,000000674,11100500
82,73,Male,Catherine Hogan,678-490-7542,82,81,000000955,000001365,11100620
82,73,Male,Catherine Hogan,678-490-7542,182,181,000001446,000000397,11100510
83,28,Female,Mark Williams,232.690.3772x016,83,82,000001452,000000286,11100630
83,28,Female,Mark Williams,232.690.3772x016,183,182,000001426,000000446,11100520
84,78,Male,Jacob Soto,308.485.2769,84,83,000001212,000000427,11100640
84,78,Male,Jacob Soto,308.485.2769,184,183,000001349,000000385,11100530
85,58,Male,Alexis Young,881.665.2161x647,85,84,000001426,000000549,11100650
85,58,Male,Alexis Young,881.665.2161x647,185,184,000000114,000000551,11100540
86,82,Female,Peter Moss,532-740-3712,86,85,000001426,000000549,11100660
86,82,Female,Peter Moss,532-740-3712,186,185,000001426,000000155,11100550
87,41,Male,Alex Huang,(813)558-3646x257,87,86,000001454,000001458,11100670
87,41,Male,Alex Huang,(813)558-3646x257,187,186,000000287,000000155,11100570
88,39,Male,Michelle Erickson,883.628.8820,88,87,000000627,100000061,11100680
88,39,Male,Michelle Erickson,883.628.8820,188,187,000000287,000001001,11100573
89,22,Male,Diana Mcguire,793-614-1154,89,88,000000163,100000052,14100129
89,22,Male,Diana Mcguire,793-614-1154,189,188,000000163,000000010,11100580
90,40,Male,Jamie Guzman,224.747.8975,90,89,000000507,100000052,11100070
90,40,Male,Jamie Guzman,224.747.8975,190,189,000000148,000000370,11100060
91,32,Female,Jessica Wolfe,+1-975-710-6151,91,90,000000558,000000149,11100700
91,32,Female,Jessica Wolfe,+1-975-710-6151,191,190,000000378,000000010,11100612
91,32,Female,Jessica Wolfe,+1-975-710-6151,201,200,000000193,000000576,11100700
92,36,Female,Jennifer Hernandez,(760)810-3739,92,91,000000288,000000241,11100710
92,36,Female,Jennifer Hernandez,(760)810-3739,192,191,000000148,000001339,11100620
92,36,Female,Jennifer Hernandez,(760)810-3739,202,201,000001497,000001254,11100710
93,85,Male,Sarah Mckay,904.322.1760x6474,93,92,000000287,000000525,11100720
93,85,Male,Sarah Mckay,904.322.1760x6474,193,192,000000288,000000379,11100630
93,85,Male,Sarah Mckay,904.322.1760x6474,203,202,000001539,000000176,11100720
94,86,Female,Robert Ortiz,601.791.5171x222,94,93,000001466,000000418,11100730
94,86,Female,Robert Ortiz,601.791.5171x222,194,193,000000400,000000406,11100640
94,86,Female,Robert Ortiz,601.791.5171x222,204,203,000000333,000001292,11100730
95,25,Male,Kelli Chan,377.506.8024x382,95,94,000001212,000000407,11100740
95,25,Male,Kelli Chan,377.506.8024x382,195,194,000000378,000000543,11100650
95,25,Male,Kelli Chan,377.506.8024x382,205,204,000001404,000000528,11100740
96,46,Female,Matthew Thomas,001-296-419-1109x7252,96,95,000000627,000000772,11100155
96,46,Female,Matthew Thomas,001-296-419-1109x7252,196,195,000000289,000000509,11100660
96,46,Female,Matthew Thomas,001-296-419-1109x7252,206,205,000000037,000000299,11100155
97,33,Male,Kevin Gonzalez,(772)628-3328x3630,97,96,000000627,000000357,11100743
97,33,Male,Kevin Gonzalez,(772)628-3328x3630,197,196,000000507,000000538,11100670
97,33,Male,Kevin Gonzalez,(772)628-3328x3630,207,206,000000162,000000628,11100743
98,79,Male,Danny Evans,944-621-8024,98,97,000000191,100000223,11100080
98,79,Male,Danny Evans,944-621-8024,198,197,000000914,000000535,11100680
98,79,Male,Danny Evans,944-621-8024,208,207,100000131,000000053,11100080
99,40,Female,Andrew Arnold,001-497-979-3397x291,99,98,000000507,100000231,11100090
99,40,Female,Andrew Arnold,001-497-979-3397x291,199,198,000000718,100000032,14100129
99,40,Female,Andrew Arnold,001-497-979-3397x291,209,208,000000201,000000010,11100090
100,87,Female,Julie Silva,(364)579-4142x173,100,99,100000100,000000470,11100840
100,87,Female,Julie Silva,(364)579-4142x173,200,199,000000283,000000773,11100070
100,87,Female,Julie Silva,(364)579-4142x173,210,209,000000019,000000076,11100840
